"FilingID","Full Legal Name","CIK Number"
1939699,"NASDAQ INC",1120193
1939699,"STRATEGIC INVESTMENTS INC",1681668
1939699,"SVB FINANCIAL GROUP",719739
1939699,"UBS AMERICAS INC",1127918
1939699,"WELLS FARGO CENTRAL PACIFIC HOLDINGS INC",1911104
1945243,"CREDIT SUISSE GROUP AG",1159510
1937912,"AMERIPRISE FINANCIAL, INC.",820027
1943594,"FLAGSTAR FINANCIAL, INC. (FORMALLY, NEW YORK COMMUNITY BANK)",910073
1929958,"BGC PARTNERS, INC.",1382519
1940178,"M&T BANK CORPORATION",36270
1940117,"SANDY SPRING BANCORP, INC.",824410
