"FilingID","ReferenceID","CIK"
1970172,109851,1532462
1945575,372086,1303159
1950366,140596,53903
1950366,140596,810417
1950366,140596,1130371
1950366,140596,1512995
1967881,151899,1492133
1966817,71225,846797
1950899,292979,1491520
1950899,292981,150224
1950899,292982,1615374
1950899,292983,168211
1950899,292984,1760648
1950899,292986,180874
1950899,292988,156982
1950899,292989,1682090
1950899,292992,1767936
1967760,139573,1893778
1934941,62899,858873
1945845,41184,939222
1945845,41188,887793
1945845,72506,1735101
1945845,148078,1429401
1945845,148080,315038
1945845,208973,1737819
1945845,244953,1737923
1945845,244957,1521019
1945845,244958,1311016
1956264,239062,1575280
1924863,51193,1404783
1924863,284583,1522733
1924863,284584,1522732
1924863,284607,1418293
1924863,284612,1418297
1924863,371528,1457496
1924863,373284,1359291
1965406,383775,2029590
1965406,383776,2028372
1943205,233413,1233991
1943205,233414,351106
1943205,322305,1232739
1943205,322306,1543099
1943205,322310,1347882
1943205,322311,727892
1943205,322315,1232744
1943205,322317,908733
1943205,322321,86298
1950450,277251,1543160
1969288,345701,1900567
1930731,355706,1455701
1930731,355707,729057
1930731,355718,799091
1930731,355718,1099635
1930731,391076,1316541
1957291,33465,1309613
1957291,238075,1505708
1957291,285820,1650392
1953517,46064,944360
1939235,272821,1649451
1955987,81673,1738728
1955987,86778,1319111
1955987,227002,765443
1955987,227004,1021223
1955987,227007,1591068
1955987,227008,19481
1955987,227011,1587281
1955987,227012,78272
1955987,257505,1290668
1955987,355990,1387941
1956295,81768,1319111
1956295,81770,1738726
1956295,227014,765443
1956295,227016,1021223
1956295,227019,1591068
1956295,227020,19481
1956295,227023,1587281
1956295,227024,78272
1956295,257475,1290668
1956295,355991,1387941
1946921,276567,908758
1922682,2915,1034182
1922682,40703,1254859
1922682,40704,1320616
1922682,40705,61916
1922682,61122,872873
1922682,61122,1526483
1922682,82123,1553998
1922682,82124,1528732
1922682,82125,1343498
1922682,171502,1725946
1922682,303000,1073894
1940107,5965,1254859
1940107,33252,61916
1940107,41983,1034182
1940107,41984,1230788
1940107,43540,872873
1940107,43540,1526483
1940107,82118,1343498
1940107,82119,1528732
1940107,175196,1725946
1940107,323450,884590
1952108,163687,1373656
1949957,218264,1829348
1949957,240158,1009262
1949957,240178,1007295
1949295,53015,108572
1945089,30920,1179124
1945089,125366,1022437
1945089,142697,1304148
1945089,142701,1376503
1945089,204369,1304145
1945089,204383,938772
1945089,207332,848027
1945089,253478,1376501
1945089,258847,1167713
1955450,301348,1845565
1962555,377979,812295
1927098,112755,700683
1927098,112757,316744
1927098,114496,1054074
1927098,368176,1997645
1946378,124173,1418812
1946378,317336,1375350
1946378,368340,1951725
1942170,43864,1125816
1942170,43865,875626
1942170,43865,1184765
1964621,96746,1681113
1932427,90526,73387
1932427,101458,1311016
1932427,101468,900973
1932427,219318,1737819
1932427,219321,939222
1932427,219323,1737923
1932427,219327,887793
1951854,42174,1099485
1951854,42179,741611
1951854,42179,928121
1951854,42179,1173475
1951854,42179,1363391
1951854,283597,835271
1951854,283598,822378
1964593,161541,57210
1964593,161542,1483964
1964593,281351,1043187
1964593,281354,1681113
1961544,74499,1469751
1961544,237845,1728280
1961544,237846,1453720
1961544,282505,1442181
1924866,53902,1418294
1924866,284212,1522733
1924866,284214,1522732
1924866,284244,1418293
1924866,284281,1418297
1924866,346161,1790614
1924866,371537,1457496
1924866,373362,1359291
1924866,387779,886116
1963397,105838,1045520
1964839,43864,1125816
1964839,43865,875626
1964839,43865,1184765
1947786,250351,1902229
1969591,13668,1039235
1969591,121828,877134
1968138,164208,1114667
1968138,164209,1389479
