"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1926446,65368,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
1926446,227793,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
1926446,316395,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","N"
1926446,191513,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
1926446,191513,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1926446,60098,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
1926446,168404,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
1926446,279411,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
1926446,191213,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","N"
1926446,54795,"J.P. MORGAN CHASE BANK N.A.","",,"NEW YORK","New York","United States","N"
1926446,168404,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1926446,54795,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","N"
1926446,191513,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,60098,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,269765,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1926446,168404,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","N"
1926446,316395,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,60098,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1926446,191513,"CITIBANK, N.A.","",,"LONDON","","United Kingdom","N"
1926446,60098,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1926446,212124,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1926446,191513,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","N"
1926446,191212,"CITIBANK, N.A.","",,"LONDON","","United Kingdom","N"
1926446,436286,"COINBASE, INC.","",,"NEW YORK","New York","United States","Y"
1929360,231363,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1929360,245194,"MORGAN STANLEY & CO INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1929360,245194,"UBS AG, LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1929360,231363,"UBS AG","",,"LONDON","","United Kingdom","Y"
1929360,230135,"UBS AG","",,"LONDON","","United Kingdom","Y"
1929360,4576,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1929360,230135,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1927234,357652,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1927234,357652,"TD PRIME SERVICES LLC","8-3337",1914,"NEW YORK","New York","United States","Y"
1927234,357652,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1927234,357652,"CLEAR STREET LLC","8-69972",288933,"NEW YORK","New York","United States","Y"
1925854,375128,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"WEST LAKE","Texas","United States","Y"
1925854,365571,"BTIG, LLC","8-65473",122225,"NEW YORK","New York","United States","N"
1925202,424491,"INTERACTIVE BROKERS LLC","8-47257",36418,"CHICAGO","Illinois","United States","Y"
1929687,60881,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,236613,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,236642,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,60884,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,257067,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,236643,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,240805,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,236615,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,60866,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1929687,198715,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1927055,423456,"MORGAN STANLEY & CO. LLC","8-15869",8209,"PURCHASE","New York","United States","Y"
1927055,423456,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1925491,425916,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1928876,216793,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","N"
1926506,25627,"PERSHING LLC","8-17574",7560,"JERSEY CITY","New Jersey","United States","Y"
1933807,312602,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1933807,192765,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1933807,318090,"J.P. MORGAN SECURITIES INC.","8-36950",18718,"NEW YORK","New York","United States","Y"
1933807,363792,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1933807,227265,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1933807,368082,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1933807,312617,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1933807,192738,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1933807,211457,"BANK OF MONTREAL","",,"TORONTO","","Canada","Y"
1933807,368349,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1933807,228982,"MORGAN STANLEY CAPITAL SERVICES LLC","",,"NEW YORK","New York","United States","Y"
1933807,368349,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1933807,182725,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1933807,249195,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1933807,249195,"BNP PARIBAS SECURITIES CORP.","8-32682",15794,"NEW YORK","New York","United States","Y"
1933807,192738,"UBS AG","",,"ZURICH","","Switzerland","Y"
1930671,200272,"WELLS FARGO SECURITIES, LLC","8-65876",126292,"CHARLOTTE","North Carolina","United States","Y"
1930671,200272,"CITICORP SECURITIES SERVICES, INC.","8-32117",15387,"NEW YORK","New York","United States","Y"
1930671,200260,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1930671,200272,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1930671,200272,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1930671,200272,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","Y"
1930671,200178,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1930671,200275,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1930671,200272,"CITIBANK, N.A.","",,"NEW YORK","New York","United States","Y"
