"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1997499,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997518,,,,,,,,,,,,,,,,,,,,,,,,,"",2,0,0,0,0,0,0,0,85,9,4,0,""
1995592,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997394,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1983958,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997481,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1995541,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997547,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1992191,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997295,,,,,,,,,,,,,,,,,,,,,,,,,"",20,0,0,4,0,0,0,0,69,0,7,0,""
1997593,,,,,,,,,,,,,,,,,,,,,,,,,"",50,0,0,0,0,0,0,0,45,0,5,0,""
1997601,,,,,,,,,,,,,,,,,,,,,,,,,"",8,0,0,1,0,1,0,0,66,15,9,0,""
1995658,,,,,,,,,,,,,,,,,,,,,,,,,"",1,0,24,0,0,2,0,1,27,0,47,0,""
1997175,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1995081,,,,,,,,,,,,,,,,,,,,,,,,,"",90,0,4,2,0,2,0,0,0,0,2,0,""
1996639,,,,,,,,,,,,,,,,,,,,,,,,,"",9,0,2,0,0,0,0,0,85,0,4,0,""
1997183,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,0,0,0,100,"REAL ESTATE LOANS."
1994753,,,,,,,,,,,,,,,,,,,,,,,,,"",76,0,0,0,0,11,0,0,9,0,4,0,""
1997017,,,,,,,,,,,,,,,,,,,,,,,,,"",10,0,1,0,0,0,0,0,87,0,2,0,""
1997198,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997203,,,,,,,,,,,,,,,,,,,,,,,,,"",23,0,4,1,0,2,0,0,59,0,10,1,"ILLIQUID ALTERNATIVE INVESTMENT ASSETS, STRUCTURED NOTES, VARIABLE ANNUITIES, PRINCIPAL PAYDOWN BONDS"
1993016,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997080,,,,,,,,,,,,,,,,,,,,,,,,,"",47,0,9,0,0,1,0,0,42,0,6,0,""
1997158,,,,,,,,,,,,,,,,,,,,,,,,,"",41,0,1,6,0,7,0,0,38,0,7,0,""
1996893,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,100,0,0,0,""
1996124,,,,,,,,,,,,,,,,,,,,,,,,,"",92,0,0,0,0,0,0,1,4,0,3,0,""
1997229,,,,,,,,,,,,,,,,,,,,,,,,,"",43,1,1,0,0,0,0,0,51,0,4,0,""
1996038,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,64,0,0,0,0,0,0,0,36,0,""
1996926,,,,,,,,,,,,,,,,,,,,,,,,,"",21,0,2,0,0,0,0,0,71,0,6,0,""
1997353,,,,,,,,,,,,,,,,,,,,,,,,,"",60,0,0,0,0,2,0,0,28,0,8,2,"VARIABLE ANNUITY (VA)"
1996323,,,,,,,,,,,,,,,,,,,,,,,,,"",4,0,1,1,0,0,0,0,83,0,9,3,"CD, BONDS, VARIABLE ANNUITY SUB-ACCOUNTS"
1997366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,99,98,"REAL ESTATE",,,,,,,,,,,,,""
1997378,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997386,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,1,0,0,0,0,92,0,4,0,""
1997390,,,,,,,,,,,,,,,,,,,,,,,,,"",21,0,3,1,0,1,0,0,66,2,6,0,""
1997235,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,"",,,,,,,,,,,,,""
1987984,,,,,,,,,,,,,,,,,,,,,,,,,"",45,0,2,1,0,0,0,0,44,0,8,0,""
1995027,,,,,,,,,,,,,,,,,,,,,,,,,"",24,0,2,2,0,1,0,0,32,17,20,2,"CDS, PREFERREDS, WARRANTS"
1994227,,,,,,,,,,,,,,,,,,,,,,,,,"",5,0,0,0,0,0,0,0,88,4,3,0,""
1995063,,,,,,,,,,,,,,,,,,,,,,,,,"",22,0,1,0,0,1,0,0,65,0,11,0,""
1995079,44,45,6,7,2,2,4,4,0,0,2,2,1,1,0,0,26,25,1,1,5,5,9,8,"VARIABLE ANNUITIES, STRUCTURED PRODUCTS/ALTERNATIVE INVESTMENTS, RETIREMENT PLAN ASSETS",,,,,,,,,,,,,""
1995094,31,34,10,10,2,2,2,2,0,0,1,1,1,1,0,0,37,37,1,1,6,5,9,8,"VARIABLE ANNUITIES, STRUCTURED PRODUCTS/ALTERNATIVE INVESTMENTS",,,,,,,,,,,,,""
1988837,,,,,,,,,,,,,,,,,,,,,,,,,"",78,0,0,0,0,0,0,0,18,0,4,0,""
1995104,,,,,,,,,,,,,,,,,,,,,,,,,"",5,0,1,1,0,0,0,0,88,0,5,1,"ADR,ANNUITIES,LIMITED PARTNERSHIPS"
1995112,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1995133,,,,,,,,,,,,,,,,,,,,,,,,,"",6,0,4,1,0,1,0,0,85,0,3,0,""
1991672,,,,,,,,,,,,,,,,,,,,,,,,,"",0,100,0,0,0,0,0,0,0,0,0,0,""
1980020,,,,,,,,,,,,,,,,,,,,,,,,,"",27,3,0,0,0,4,0,0,65,0,1,0,""
1997607,,,,,,,,,,,,,,,,,,,,,,,,,"",46,0,0,3,0,0,0,0,15,22,2,12,"(XII) PRIVATE INVESTMENTS IN SINGLE ASSET LLCS"
1997647,,,,,,,,,,,,,,,,,,,,,,,,,"",85,0,2,0,0,0,0,0,1,0,12,0,""
1995649,,,,,,,,,,,,,,,,,,,,,,,,,"",19,0,1,0,0,0,0,0,78,0,2,0,""
1988082,,,,,,,,,,,,,,,,,,,,,,,,,"",5,0,0,0,0,0,0,0,90,0,5,0,""
1997635,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997673,,,,,,,,,,,,,,,,,,,,,,,,,"",2,0,0,0,0,0,0,0,97,0,1,0,""
1997406,,,,,,,,,,,,,,,,,,,,,,,,,"",15,0,12,0,0,0,0,0,67,0,6,0,""
1997313,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997712,,,,,,,,,,,,,,,,,,,,,,,,,"",20,5,0,0,0,0,0,5,63,0,7,0,""
1990336,,,,,,,,,,,,,,,,,,,,,,,,,"",5,0,2,0,0,0,0,0,90,0,3,0,""
1994986,,,,,,,,,,,,,,,,,,,,,,,,,"",96,0,0,0,0,0,0,0,4,0,0,0,""
1997741,,,,,,,,,,,,,,,,,,,,,,,,,"",87,0,0,0,0,3,0,0,0,0,10,0,""
1997542,,,,,,,,,,,,,,,,,,,,,,,,,"",58,0,1,4,0,1,0,0,32,0,4,0,""
1997989,,,,,,,,,,,,,,,,,,,,,,,,,"",74,0,0,0,0,0,0,0,0,0,26,0,""
1996942,,,,,,,,,,,,,,,,,,,,,,,,,"",68,32,0,0,0,0,0,0,0,0,0,0,""
1980142,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1998059,,,,,,,,,,,,,,,,,,,,,,,,,"",68,0,0,3,0,0,0,0,29,0,0,0,""
1989837,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,,,,,,,,,,,""
1992004,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997398,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,0,0,0,100,"REAL ESTATE."
1997383,,,,,,,,,,,,,,,,,,,,,,,,,"",6,0,10,2,0,0,0,0,61,14,7,0,""
1993610,,,,,,,,,,,,,,,,,,,,,,,,,"",93,0,0,0,0,0,0,1,0,0,7,0,""
1999163,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
