"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1995116,"CRSSTRP III, LLC",805-6510219996,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSNXT, LLC",805-8292559457,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSPIN, LLC",805-2235641504,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSSTRP II, LLC",805-6678038568,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSSTRP IV, LLC",805-7403740270,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSSTRP, LLC",805-8037104698,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSUB I, LLC",805-9905341945,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSWIN, LLC",805-9066015123,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSX III, LLC",805-2839300392,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSX IV, LLC",805-1470804668,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSX, LLC",805-9828467233,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1983684,"NINETY ONE AFRICA CREDIT OPPORTUNITIES FUND 2 SCSP",805-3607905774,"NINETY ONE LUXEMBOURG S.A.","802-108477","Y"
1983684,"NINETY ONE GLOBAL STRATEGY FUND - US DOLLAR MONEY FUND",805-5125951977,"NINETY ONE LUXEMBOURG S.A.","802-108477","Y"
1983684,"NINETY ONE GLOBAL ALTERNATIVE FUND 2 SCSP-RAIF - AFRICA CREDIT OPPORTUNITIES FUND 3A",805-5015076169,"NINETY ONE LUXEMBOURG S.A.","802-108477","Y"
1995311,"ABS DIRECT EQUITY FUND, LLC, JAPAN SERIES 3",805-6786479856,"ABS GLOBAL INVESTMENTS","801-62188","N"
1989220,"FUNDSMITH EQUITY FUND, L.P.",805-4487796467,"FUNDSMITH, LLP","801-79120","N"
2000547,"CORUNDUM MANAGED EQUITY FUND AI LLC",805-6927558559,"CORUNDUM GROUP, INC.","801-42281","N"
2000547,"CORUNDUM MANAGED EQUITY FUND QP LLC",805-6780062866,"CORUNDUM GROUP, INC.","801-42281","N"
2000547,"CORUNDUM INCOME FUND QP LLC",805-8196921760,"CORUNDUM GROUP, INC.","801-42281","N"
1989220,"FUNDSMITH SUSTAINABLE EQUITY FUND, L.P.",805-4705292292,"FUNDSMITH, LLP","801-79120","N"
1999438,"COLLER INTERNATIONAL PARTNERS VI FEEDER FUND E, L.P.",805-8554176647,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS VI FEEDER FUND, L.P.",805-8094908349,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS VI, L.P.",805-2994917787,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS VII FEEDER FUND, L.P.",805-2560975531,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS VII, L.P.",805-5424770464,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS VIII, L.P.",805-7542708988,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS VIII FEEDER FUND, L.P.",805-9260275972,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER CREDIT OPPORTUNITIES I - ANNEX I, SLP",805-9078657644,"COLLER CAPITAL LIMITED","802-75969","N"
1999438,"COLLER CREDIT OPPORTUNITIES I - A, L.P.",805-3231972221,"COLLER CREDIT SECONDARIES INVESTMENT MANAGEMENT LIMITED","802-123476","N"
1999438,"COLLER CREDIT OPPORTUNITIES I - B, L.P.",805-5108184435,"COLLER CREDIT SECONDARIES INVESTMENT MANAGEMENT LIMITED","802-123476","N"
1999438,"COLLER INTERNATIONAL PARTNERS IX, L.P.",805-3909445633,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS IX - A, L.P.",805-4720277338,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS IX - B, L.P.",805-2052534742,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS IX - D, L.P.",805-9192476881,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS IX - E, L.P.",805-8025662646,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER INTERNATIONAL PARTNERS IX -F, L.P.",805-6705151756,"COLLER INVESTMENT MANAGEMENT LTD","801-56222","N"
1999438,"COLLER CREDIT OPPORTUNITIES II - A, L.P.",805-1076388103,"COLLER CREDIT SECONDARIES INVESTMENT MANAGEMENT LIMITED","802-123476","N"
1999438,"COLLER CREDIT OPPORTUNITIES II - B, L.P.",805-8897111059,"COLLER CREDIT SECONDARIES INVESTMENT MANAGEMENT LIMITED","802-123476","N"
1997839,"VALENCE8 DIVERSIFIED (CORE) FUND LTD",805-8139071655,"VALENCE8","801-122837","N"
1997839,"PERSISTENT ASSET X SEGREGATED PORTFOLIO",805-9458553340,"PERSISTENT ASSET PARTNERS LIMITED","802-89175","N"
1998885,"PRELUDE STRUCTURED ALTERNATIVES MASTER FUND, LP",805-2495224621,"PRELUDE CAPITAL MANAGEMENT, LLC","801-73598","N"
1998885,"BOOTHBAY DIVERSIFIED ALPHA MASTER FUND LP",805-3035644699,"BOOTHBAY FUND MANAGEMENT","801-80018","N"
1998885,"BOOTHBAY ABSOLUTE RETURN STRATEGIES, LP",805-5663558974,"BOOTHBAY FUND MANAGEMENT","801-80018","N"
1998885,"MOLECULE MASTER, LP",805-9090725513,"PAAMCO PRISMA, LLC","801-57416","N"
1999664,"PLAINVIEW FUNDS PLC - MACKAY SHIELDS EMERGING MARKETS DEBT PORTFOLIO",805-5333363263,"NYL INVESTMENTS EUROPE LIMITED","802-117758","Y"
2000201,"A-BMC-89-FUND, A SERIES OF AX-STRTAL-FUNDS, LLC",805-9790601815,"ANGELLIST ADVISORS","802-78135","N"
2000201,"IM FUND I, A SERIES OF STRUCTURAL CAPITAL FUNDS, LP",805-8127319213,"ANGELLIST ADVISORS","802-78135","N"
2000201,"CEOF HOLDINGS LP",805-6342800715,"CORBIN CAPITAL PARTNERS, L.P.","801-63358","N"
1997451,"CHEETAH KOREA VALUE FUND",805-6761317996,"CHEETAH INVESTMENT MANAGEMENT LIMITED","802-77871","N"
1995379,"CERBERUS SFR IDF PARTNERS SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-8800142985,"SALI FUND SERVICES","801-61702","N"
1991866,"DOCKSIDE VANTAGE FUND LP",805-5395477103,"WALLEYE CAPITAL LLC","801-113731","N"
1997665,"DB REAL ESTATE GLOBAL OPPORTUNITIES IB. L.P.",805-2005396818,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.","801-252","N"
1997665,"PAN-EUROPEAN INFRASTRUCTURE FUND III SCSP",805-9992626654,"DWS INVESTMENT S.A.","802-115197","N"
1997665,"INFRAMEWA CO-INVEST, SCSP",805-4497877732,"DWS INVESTMENT S.A.","802-115197","N"
1997665,"COMPASS EUROPEAN INFRASTRUCTURE SCSP",805-3125330400,"DWS INVESTMENT S.A.","802-115197","N"
1997665,"SUSTAINABLE GROWTH INFRASTRUCTURE FUND SCSP SICAV-RAIF",805-4177389056,"DWS INVESTMENT S.A.","802-115197","N"
1997665,"PAN EUROPEAN INFRASTRUCTURE FUND IV SCSP",805-7495348269,"DWS INVESTMENT S.A.","802-115197","N"
1997665,"MELODY MASTER JERSEY LP",805-1240915329,"MELODY GP LIMITED","802-132440","N"
1998068,"KNIGHTS OF COLUMBUS PRIVATE CREDIT FUND, LP",805-6925510506,"KNIGHTS OF COLUMBUS ASSET ADVISORS LLC","801-80844","N"
1998068,"AUDAX CO-INVEST III, L.P.",805-5972179282,"AUDAX PRIVATE EQUITY","801-73306","N"
1998068,"AUDAX TRUST CO-INVEST, L.P.",805-1150421149,"AUDAX PRIVATE EQUITY","801-73306","N"
2000152,"K INDIA OPPORTUNITIES FUND LIMITED (CONSISTENT COMPOUNDERS INDIA  FUNDS)",805-9055689503,"KOTAK MAHINDRA (INTERNATIONAL) LIMITED","802-76440","N"
