"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1975494,317268,142352,"SONA CREDIT OPPORTUNITIES FUND LP",805-8285291455,"Delaware","United States","N","Y"
1989381,438239,150527,"ALOUETTE ONSHORE, LP",805-8983855176,"Delaware","United States","N","Y"
1989381,423456,147334,"FIVESPAN PARTNERS OFFSHORE, LP",805-9112884378,"","Cayman Islands","N","Y"
1989381,423456,147335,"FIVESPAN PARTNERS ONSHORE, LP",805-6177413977,"Delaware","United States","N","Y"
1989381,438239,150526,"ALOUETTE OFFSHORE SPC, LTD",805-2418212892,"","Cayman Islands","N","Y"
1986542,184524,120044,"MELQART OPPORTUNITIES FUND LTD",805-9049313752,"","Cayman Islands","N","Y"
1986542,281705,137297,"MELQART KEAL MACRO FUND LTD",805-4468673536,"","Cayman Islands","N","Y"
1989915,231528,130752,"INSOLVE GLOBAL CREDIT FEEDER FUND IV, LP",805-8184868816,"","Cayman Islands","N","Y"
1989915,231529,130753,"FALLINGWATER FEEDER FUND, LP",805-9993885633,"","Cayman Islands","N","Y"
1989915,231528,134053,"IGCF IV FEEDER-E L.P.",805-8450380069,"","Cayman Islands","N","Y"
1989915,187825,120467,"INSOLVE GLOBAL CREDIT FEEDER FUND III, LP",805-8843404975,"","Cayman Islands","N","Y"
1989915,288364,138167,"BALBEC SC EVERGREEN FEEDER FUND, L.P.",805-6462849642,"","Cayman Islands","N","Y"
1989915,287750,138068,"INSOLVE GLOBAL CREDIT FEEDER FUND V, LP",805-2076340821,"","Cayman Islands","N","Y"
