"FilingID","ReferenceID","Foreign Regulatory Authority"
1968460,422421,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,369291,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,316395,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,309715,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,312276,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,309713,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,310917,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,312277,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,432002,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,437255,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975569,372386,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372398,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,27858,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372385,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,27817,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372389,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372387,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372381,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372400,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372393,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372404,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372395,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372384,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372401,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372390,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372391,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372397,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,372399,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,236217,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,216535,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975569,34376,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,297187,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975569,372396,"Cayman Islands - Cayman Islands Monetary Authority"
1975569,425912,"Cayman Islands - Cayman Islands Monetary Authority"
1982714,287880,"Cayman Islands - Cayman Islands Monetary Authority"
1982714,198945,"Cayman Islands - Cayman Islands Monetary Authority"
1982714,177981,"Cayman Islands - Cayman Islands Monetary Authority"
1982329,59763,"Cayman Islands - Cayman Islands Monetary Authority"
1982329,18087,"Cayman Islands - Cayman Islands Monetary Authority"
1982720,13960,"Canada - Ontario Securities Commission"
1982720,205607,"Netherlands - The Netherlands Authority for the Financial Markets"
1982720,205609,"Netherlands - The Netherlands Authority for the Financial Markets"
1982720,13948,"Cayman Islands - Cayman Islands Monetary Authority"
1982720,13975,"Cayman Islands - Cayman Islands Monetary Authority"
1982720,205607,"Cayman Islands - Cayman Islands Monetary Authority"
1982720,13975,"Canada - Quebec, Financial Markets Authority"
1982720,205609,"Sweden - Swedish Financial Supervisory Authority"
1982720,205609,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1982720,205607,"Sweden - Swedish Financial Supervisory Authority"
1982720,205607,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1982720,205607,"Canada - Ontario Securities Commission"
1980078,202452,"Cayman Islands - Cayman Islands Monetary Authority"
1980078,202444,"Cayman Islands - Cayman Islands Monetary Authority"
1980078,202475,"Cayman Islands - Cayman Islands Monetary Authority"
1980078,202477,"Cayman Islands - Cayman Islands Monetary Authority"
1980078,305194,"Cayman Islands - Cayman Islands Monetary Authority"
1980078,305203,"Cayman Islands - Cayman Islands Monetary Authority"
1980078,305216,"Cayman Islands - Cayman Islands Monetary Authority"
