FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1989923,"","","","","","Y","","","","",2025
1989925,"","","Y","","","","","","","",
1989943,"","","Y","","","","","","","",
1990009,"Y","","","","","","","","Y","",
1990043,"","","Y","","","","","","","",
1990045,"","","","","","","Y","","","",
1990065,"","","Y","","","","","","","",
1990075,"","","Y","","","","","","","",
1990135,"","","Y","","","","","","","",
1990146,"","","Y","","","","","","","",
1990149,"Y","","","","","","","","","",
1990155,"Y","","","","","","","","","",
1990156,"","Y","","","","","","","","",2025
1990157,"","","Y","","","","","","","",
1990178,"","","Y","","","","","","","",
1990200,"","","Y","","","","","","","",
1990210,"","","","","","Y","","","","",2025
1990217,"","","Y","","","","","","","",
1990218,"","","","","Y","","","","","",
1990238,"","","Y","","","","","","","",
1990242,"","","Y","","","","","","","",
1990246,"Y","","","","","","","","","",
1990277,"","","","Y","","","","","","",
1990278,"","","Y","","","","","","","",
1990285,"","","Y","","","","","","","",
1990288,"Y","","","","","","","","Y","Y",
1990311,"","","Y","","","","","","","",
1990336,"","","Y","","","","","","","",
1990348,"Y","","","","","","","","","Y",
1990357,"","","Y","","","","","","","",
1990399,"","","","","","","","","","Y",
1990400,"","","","","","Y","","","","",2025
1990404,"","","","","","Y","","","","",2025
1990408,"","","","","","Y","","","","",2025
1990409,"","","","","","Y","","","","",2025
1990432,"","","Y","","","","","","","",
1990514,"","","Y","","","","","","","",
1990545,"","","Y","","","","","","","",
1990565,"","","Y","","","","","","","",
1990583,"","","","","Y","","","","","",
1990609,"","","","","","","Y","","","",
1991637,"Y","","","","","","","","","",
1991672,"","","Y","","","","","","","",
1991678,"Y","","","","","","","","","Y",
1991684,"","","","","","Y","","","","",2025
1991688,"","","Y","","","","","","","",
1991689,"","","Y","","","","","","","",
1991712,"","","Y","","","","","","","",
1991720,"","","","","","Y","","","","",2025
1991744,"","","","","","","Y","","","",
1991748,"","","Y","","","","","","","",
1991766,"","","","","","Y","","","","",2025
1991783,"","","Y","","","","","","","",
1991808,"","","Y","","","","","","","",
1991820,"","","","","","Y","","","","",2025
1991826,"","","Y","","","","","","","",
1991827,"","","","","","Y","","","","",2025
1991835,"","","Y","","","","","","","",
1991838,"","","Y","","","","","","","",
1991848,"","","","","Y","","","","","",
1991866,"","","Y","","","","","","","",
1991914,"","","Y","","","","","","","",
1991971,"","Y","","","","","","","","",2024
1991995,"Y","","","","","","","","","",
1992004,"","","Y","","","","","","","",
1992008,"","","Y","","","","","","","",
1992027,"","","Y","","","","","","","",
1992060,"Y","","","","","","","","Y","",
1992062,"","","Y","","","","","","","",
1992097,"","Y","","","","","","","","",2025
1992105,"","","Y","","","","","","","",
1992107,"","Y","","","","","","","","",2025
1992123,"","","Y","","","","","","","",
1992129,"","","","","","Y","","","","",2025
1992180,"","","Y","","","","","","","",
1992187,"","","Y","","","","","","","",
1992191,"","","Y","","","","","","","",
1992198,"","","Y","","","","","","","",
1992222,"","","Y","","","","","","","",
1992226,"","","Y","","","","","","","",
1992228,"","","","","Y","","","","","",
1992245,"","","Y","","","","","","","",
1992246,"","","Y","","","","","","","",
1992258,"","","Y","","","","","","","",
1992266,"","","Y","","","","","","","",
1992277,"Y","","","Y","","","","","","",
1992289,"Y","","","","","","","","Y","Y",
1992313,"","","Y","","","","","","","",
1992320,"","Y","","","","","","","","",2025
1992330,"","","Y","","","","","","","",
1992339,"","","Y","","","","","","","",
1992359,"","","Y","","","","","","","",
1992360,"Y","","","","","","","","Y","Y",
1992361,"Y","","","","","","","","","",
1992420,"","","","","","Y","","","","",2025
1992422,"","","","","","Y","","","","",2025
1992428,"","","Y","","","","","","","",
1992431,"Y","","","","","","","","","Y",
1992432,"Y","","","","","","","","Y","Y",
1992433,"","","","","","Y","","","","",2025
1992436,"","","Y","","","","","","","",
1992443,"","","","","","Y","","","","",2025
1992444,"","Y","","","","","","","","",2025
1992445,"","","Y","","","","","","","",
1992458,"","","Y","","","","","","","",
1992472,"","","Y","","","","","","","",
1992493,"","","Y","","","","","","","",
1992495,"","","Y","","","","","","","",
1992512,"","","Y","","","","","","","",
1992538,"","","","","Y","","","","","",
1992565,"","","","","","","","","","Y",
1992579,"","","Y","","","","","","","",
1992581,"Y","","","","","","","","","",
1992603,"Y","","","","","","","","","Y",
1992651,"","","Y","","","","","","","",
1992652,"Y","","","","","","","","Y","Y",
1992653,"","","Y","","","","","","","",
1992694,"","","Y","","","","","","","",
1992720,"","","","","","Y","","","","",2025
1992723,"","","","","","Y","","","","",2025
1992726,"","Y","","","","","","","","",2025
1992729,"","","Y","","","","","","","",
1992732,"","","Y","","","","","","","",
1992740,"","Y","","","","","","","","",2025
1992741,"","","Y","","","","","","","",
1992749,"","","Y","","","","","","","",
1992757,"","","Y","","","","","","","",
1992759,"","","","","Y","","","","","",
1992766,"","Y","","","","","","","","",2025
1992782,"","Y","","","","","","","","",2025
1992785,"","","Y","","","","","","","",
1992807,"","","Y","","","","","","","",
1992821,"","","Y","","","","","","","",
1992840,"","","Y","","","","","","","",
1992842,"Y","","","","","","","","","",
1992843,"","Y","","","","","","","","",2025
1992856,"","","Y","","","","","","","",
1992858,"","","","","","","Y","","","",
1992875,"","","Y","","","","","","","",
1992888,"","","","","Y","","","","","",
1992891,"","","Y","","","","","","","",
1992923,"","","Y","","","","","","","",
1992935,"","","","","","","Y","","","",
1993004,"","","Y","","","","","","","",
1993010,"","","Y","","","","","","","",
1993014,"","","","","","Y","","","","",2025
1993016,"","","Y","","","","","","","",
1993017,"","","Y","","","","","","","",
1993023,"","","Y","","","","","","","",
1993049,"Y","","","","","","","","","",
1993057,"","","","","","Y","","","","",2025
1993060,"","","","","","Y","","","","",2025
1993065,"","","Y","","","","","","","",
1993088,"","","Y","","","","","","","",
1993095,"","","Y","","","","","","","",
1993100,"","","","","","Y","","","","",2025
1993110,"Y","","","","","","","","","Y",
1993121,"","","","","","Y","","","","",2025
1993168,"","","Y","","","","","","","",
1993175,"Y","","","","","","","","","",
1993177,"","","Y","","","","","","","",
1993184,"Y","","","","","","","","","",
1993190,"","Y","","","","","","","","",2025
1993204,"","","Y","","","","","","","",
1993210,"","","Y","","","","","","","",
1993212,"","","Y","","","","","","","",
1993229,"","","Y","","","","","","","",
1993231,"","","Y","","","","","","","",
1993267,"","","Y","","","","","","","",
1993275,"","","Y","","","","","","","",
1993290,"","","Y","","","","","","","",
1993292,"","","Y","","","","","","","",
1993294,"Y","","","","","","","","","",
1993298,"","Y","","","","","","","","",2025
1993301,"","","Y","","","","","","","",
1993306,"","","Y","","","","","","","",
1993309,"Y","","","","","","","","","",
1993339,"","","","","","","Y","","","",
1993342,"","","Y","","","","","","","",
1993344,"","","Y","","","","","","","",
1993379,"","","Y","","","","","","","",
1993390,"","","Y","","","","","","","",
1993401,"","","Y","","","","","","","",
1993404,"","","","","","","Y","","","",
1993419,"","","Y","","","","","","","",
