"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1998811,"GLOBAL RENEWABLE POWER FUND III EMPLOYEE FUND (A), L.P.",805-8834946460,"BLACKROCK ALTERNATIVES MANAGEMENT, LLC","801-110250","N"
1998811,"BLACKROCK STRATEGIC EQUITY HEDGE FUND LIMITED LLC",805-7784659343,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"BLACKROCK DIVERSIFIED PRIVATE DEBT FUND MASTER LP",805-6157731219,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"GLOBAL RENEWABLE POWER INFRASTRUCTURE FUND III (B), L.P.",805-2150947592,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"BLACKROCK INFRASTRUCTURE FUNDS ICAV -  GLOBAL RENEWABLE POWER FUND III",805-3929733824,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"GLOBAL RENEWABLE POWER FUND II, (B/C SPLITTER), L.P.",805-6568458562,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"BLACKROCK ICS US DOLLAR LIQUIDITY FUND",805-6141899593,"BLACKROCK CAPITAL MANAGEMENT, INC.","801-57038","N"
1998811,"GLOBAL RENEWABLE POWER INFRASTRUCTURE FUND III (E), L.P.",805-1956363636,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1987270,"SECTOR INVESTMENT FUNDS PLC - CUSANA GLOBAL EMERGING MARKETS FUND",805-2884302173,"SECTOR FUND SERVICES AS","802-101486","N"
1996319,"BREVAN HOWARD MASTER FUND LIMITED",805-8180846603,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD MULTI-STRATEGY MASTER FUND LIMITED",805-7897821253,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD ALPHA STRATEGIES MASTER FUND LIMITED",805-4760818502,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD EMERGING MARKETS MULTI-STRATEGY MASTER FUND LIMITED",805-5771232715,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD AS MACRO MASTER FUND LIMITED",805-6173718764,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD FG MACRO MASTER FUND LIMITED",805-6620607559,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL LIQUID DIRECTIONAL MASTER FUND I, LP",805-3316194871,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL LIQUID DIRECTIONAL MASTER FUND II, LP",805-5757530365,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL LIQUID TRADING UK VEHICLE I LIMITED",805-9289361376,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL LIQUID TRADING UK VEHICLE II LIMITED",805-4097566317,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL INVESTMENTS I, LP",805-8654051255,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL INVESTMENTS II, LP",805-5775129669,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL VENTURE MASTER FUND I, LP",805-9021793261,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL VENTURE MASTER FUND II, LP",805-7423308689,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD SPECIAL OPPORTUNITIES (VIII) LIMITED",805-5987224745,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BH DIGITAL SPC",805-8744398932,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD SPECIAL OPPORTUNITIES (XIV) LIMITED",805-6415583200,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD SPECIAL OPPORTUNITIES MASTER SPC",805-7155329292,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD SYSTEMATIC RESEARCH & TECHNOLOGIES MASTER FUND LIMITED",805-1784472614,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD TN MACRO MASTER FUND LIMITED",805-2529887928,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996319,"BREVAN HOWARD MB MACRO MASTER FUND LIMITED",805-8089904964,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD MASTER FUND LIMITED",805-8180846603,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD MULTI-STRATEGY MASTER FUND LIMITED",805-7897821253,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD AS MACRO MASTER FUND LIMITED",805-6173718764,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD GLOBAL VOLATILITY MASTER FUND LIMITED",805-4757198574,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD ALPHA STRATEGIES MASTER FUND LIMITED",805-4760818502,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD FG MACRO MASTER FUND LIMITED",805-6620607559,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD LB MACRO MASTER FUND LIMITED",805-1703202667,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL LIQUID DIRECTIONAL MASTER FUND I, LP",805-3316194871,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL LIQUID DIRECTIONAL MASTER FUND II, LP",805-5757530365,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL INVESTMENTS I, LP",805-8654051255,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL INVESTMENTS II, LP",805-5775129669,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL LIQUID TRADING UK VEHICLE I LIMITED",805-9289361376,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL LIQUID TRADING UK VEHICLE II LIMITED",805-4097566317,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL VENTURE MASTER FUND I, LP",805-9021793261,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL VENTURE MASTER FUND II, LP",805-7423308689,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD SPECIAL OPPORTUNITIES (II) LIMITED",805-1860097477,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD SPECIAL OPPORTUNITIES (VIII) LIMITED",805-5987224745,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"NOVA DIGITAL OPPORTUNITIES MASTER FUND LIMITED",805-9457272672,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
