"FilingID","SEC File Number","Series ID","RAUM"
1982098,"811-08690",S000003795,0
1982098,"811-08764",S000002971,151732030
1982098,"811-08894",S000001732,399316189
1982098,"811-08894",S000001744,0
1982098,"811-08894",S000001748,757658195
1982098,"811-08894",S000058491,20369696
1982098,"811-22321",S000036714,757658195
1982098,"811-22648",S000036290,12085844259
1982098,"811-23222",S000057958,11751155776
1982098,"811-23222",S000058871,0
1982098,"811-23222",S000061914,1528939613
1982098,"811-23222",S000067959,4831450372
1982098,"811-23222",S000073404,0
1982098,"811-23222",S000073664,0
1982098,"811-23718",S000073783,3289612811
1982098,"811-23718",S000073785,3100353403
1982098,"811-23207",S000056106,4831450372
1982098,"811-03990",S000000039,1230829600
1982098,"811-03990",S000000040,519465553
1982098,"811-07852",S000003244,109181258
1982098,"811-07852",S000003255,2264071962
1982098,"811-08495",S000041108,519465553
1982098,"811-08495",S000055867,918159633
1982098,"811-10267",S000006189,4831450372
2007271,"811-08059",S000001226,641343644
2007271,"811-21677",S000001228,23890145
2007271,"811-22621",S000035709,34843851
2008118,"811-21779",S000027304,205383579
2008118,"811-21779",S000032685,3949867025
2008118,"811-21779",S000037602,39900492
2008118,"811-21779",S000040959,699782357
2008118,"811-21779",S000009820,2260203619
2008118,"811-21779",S000036500,3872091408
2008118,"811-21779",S000036499,4703560085
2008118,"811-04146",S000008236,34146409400
2008118,"811-04146",S000008296,1903523261
2008118,"811-04146",S000008320,4698534310
2008118,"811-04146",S000008229,495082785
2008118,"811-04146",S000008290,187544662
2008118,"811-04146",S000008231,983329515
2008118,"811-04146",S000008321,7447211
2008118,"811-03006",S000000614,152804350
2008118,"811-03006",S000000615,1891350490
2008118,"811-03999",S000000634,142011732
2008118,"811-03999",S000043450,133235659
2008118,"811-00560",S000000630,4855709049
2008118,"811-00560",S000000629,32427745146
2008118,"811-00560",S000076681,20687036
2008118,"811-02402",S000000646,8444741658
2008118,"811-04651",S000000648,878702251
2008118,"811-21131",,1298461280
2008118,"811-21202",S000017261,1435938436
2008118,"811-21287",,1251273990
2008118,"811-04367",S000036207,4977073358
2008118,"811-07076",S000053356,5057310341
2008118,"811-21732",S000010041,372365765
2008118,"811-22733",S000082342,4549996533
2008118,"811-22733",S000089153,967078450
1982098,"811-21991",S000084926,1608970583
1982098,"811-21991",S000029152,2046795585
1982098,"811-03447",S000006439,0
1982098,"811-05601",S000006419,2379853782
1982098,"811-10267",S000006189,4831450372
1982098,"811-21335",S000002425,0
1982098,"811-07803",S000028087,0
2011489,"814-00663",,44683099424
2011489,"814-01512",,44683099424
2003593,"811-10263",S000001159,13134443528
2003593,"811-07912",S000001858,15329594756
2003593,"811-06400",S000028356,16186796114
2003593,"811-08104",S000005840,10788214370
2003593,"811-03651",S000045166,5106993566
2003593,"811-03651",S000019681,378351193
2003593,"811-04556",S000007778,328326034
2003593,"811-04419",S000007918,725902181
2004052,"811-06302",S000011975,
2004052,"811-08287",S000001225,693829777
2004052,"811-21488",S000001227,3087218122
2004052,"811-21677",S000001228,40734776
2004052,"811-09631",S000011976,9874297862
2004052,"811-22392",S000028884,456373482
2004052,"811-22621",S000035709,440848916
2004052,"811-22455",,1258957823
2004052,"811-07154",,0
2004052,"811-03153",S000029198,
2004052,"811-03459",S000006729,
2004052,"811-08059",S000001226,3259766188
2007270,"811-21488",S000001227,293011899
2007270,"811-08059",S000001226,408918658
2007270,"811-21677",S000001228,14198559
2007270,"811-22621",S000035709,56807644
2007270,"811-03153",S000029198,
2007013,"811-08397",S000007710,1249954461
2007013,"811-08397",S000017705,191937348
2007013,"811-08397",S000007713,202459240
2007949,"811-05624",S000002830,7512838210
2007949,"811-05624",S000002832,1204241257
2007949,"811-05624",S000041864,2263118978
2007949,"811-05624",S000076841,622351
2007949,"811-05624",S000076842,1777571
2007949,"811-06515",S000002382,1402491084
2007949,"811-03980",S000004124,
2007949,"811-07607",S000004174,
2007949,"811-07607",S000004181,
2007949,"811-23820",S000082246,
2007949,"811-05624",S000041864,
2007949,"811-04015",S000017966,
2007949,"811-04015",S000017967,
2007949,"811-04015",S000017968,
