"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
2007487,435462,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,215505,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,317730,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,215498,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,235205,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,235211,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,287748,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,233726,"NORTHERN TRUST","NORTHERN TRUST","CHICAGO","Illinois","United States","N","",6PTKHDJ8HDUF78PFWH30
2007487,287894,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007586,6382,"CHARLES SCHWAB & CO., INC.","SCHWAB INSTITUTIONAL","ORLANDO","Florida","United States","N","",
2007532,217661,"ELAVON FINANCIAL SERVICES DAC, IRELAND BRANCH","ELAVON FINANCIAL SERVICES DAC, IRELAND BRANCH","DUBLIN","","Ireland","N","",5493008GNQHVI377MY19
2007532,242632,"THE BANK OF NEW YORK MELLON, LONDON BRANCH","THE BANK OF NEW YORK MELLON, LONDON BRANCH","LONDON","","United Kingdom","N","",213800GMPM8V4NOY2H13
2007532,302152,"THE BANK OF NEW YORK MELLON, LONDON BRANCH","THE BANK OF NEW YORK MELLON, LONDON BRANCH","LONDON","","United Kingdom","N","",213800GMPM8V4NOY2H13
2007532,217659,"ELAVON FINANCIAL SERVICES DAC, IRELAND BRANCH","ELAVON FINANCIAL SERVICES DAC, IRELAND BRANCH","DUBLIN","","Ireland","N","",5493008GNQHVI377MY19
2007532,204308,"ELAVON FINANCIAL SERVICES DAC, IRELAND BRANCH","ELAVON FINANCIAL SERVICES DAC, IRELAND BRANCH","DUBLIN","","Ireland","N","",5493008GNQHVI377MY19
