"FilingID","Full Legal Name","CIK Number"
2006708,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
2006769,"BLACKROCK, INC.",2012383
2006782,"BLACKROCK, INC.",2012383
2001954,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
2006529,"ALTI GLOBAL, INC.",1838615
2001180,"AFFILIATED MANAGERS GROUP INC",1004434
2002546,"DEUTSCHE BANK AG",948046
2002848,"MIDLAND STATES BANCORP, INC.",1466026
2002814,"DEUTSCHE BANK AG",948046
2002808,"DEUTSCHE BANK AG",948046
2006833,"BLACKROCK, INC.",2012383
2006849,"BLACKROCK, INC.",2012383
2006854,"BLACKROCK INC.",2012383
2006859,"BLACKROCK INC.",2012383
2006885,"BLACKROCK, INC.",1364742
2004489,"COLLIERS INTERNATIONAL GROUP INC.",913353
2003617,"VALLEY NATIONAL BANCORP",714310
2003647,"MANULIFE FINANCIAL CORPORATION",1086888
2004770,"CITIGROUP INC.",831001
2005550,"ALLIANCEBERNSTEIN L.P.",1109448
2002403,"BLACKSTONE INC.",1393818
2002413,"BLACKSTONE INC.",1393818
2002440,"NORTHERN TRUST CORPORATION",73124
2002455,"AFLAC INCORPORATED",4977
2002466,"AFLAC INCORPORATED",4977
2002472,"POPULAR, INC.",763901
2002375,"CITIGROUP INC.",831001
2005377,"BLUE OWL CAPITAL INC.",1823945
2005649,"FIFTH THIRD BANCORP",35527
2002605,"MITSUBISHI UFJ FINANCIAL GROUP INC",67088
1995961,"ALLIANCEBERNSTEIN HOLDING L.P.",825313
2002066,"WELLS FARGO AND COMPANY",105598
2002285,"GALAXY DIGITAL INC.",1859392
2002313,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
2001115,"DIAMOND HILL INVESTMENT GROUP, INC.",909108
2001327,"BANK OF MONTREAL",9622
1995961,"EQUITABLE HOLDINGS INC",1333986
2001351,"AON PLC",1183186
2001374,"ASSURED GUARANTY LTD.",1273813
2002995,"SUN LIFE FINANCIAL, INC.",109762
2002730,"WENDEL S.E.",1721938
2002785,"BANCPLUS CORPORATION",1118004
1995488,"MANULIFE FINANCIAL CORPORATION",1086888
2006409,"STONEX GROUP INC.",913760
2005915,"DEUTSCHE BANK AG",948046
2002992,"BLUE OWL CAPITAL INC.",1823945
2002044,"VALLEY NATIONAL BANCORP",714310
2002047,"ALLY FINANCIAL INC.",40729
2005300,"BLACKSTONE INC.",1393818
2006698,"COREBRIDGE FINANCIAL, INC.",1889539
2005914,"SANTANDER HOLDINGS USA, INC.",11830
2003262,"COREBRIDGE FINANCIAL, INC.",1889539
2002831,"OPPENHEIMER HOLDINGS INC.",791963
2003074,"WAFD INC",936528
2001391,"BLUE OWL CAPITAL INC.",1823945
2006753,"BLACKROCK, INC.",2012383
2003850,"AFFILIATED MANAGERS GROUP, INC.",1004434
2006776,"BLACKROCK, INC.",2012383
2006788,"BLACKROCK, INC.",2012383
2006791,"BLACKROCK INC.",2012383
2006786,"BLACKROCK, INC.",2012383
2006731,"WENDEL S.E.",1721938
2006433,"BLACKROCK, INC.",1364742
2006894,"MORGAN STANLEY",895421
2005118,"THE BANK OF NEW YORK MELLON CORPORATION",1497973
2007099,"MARKEL CORPORATION",1096343
2007109,"MITSUBISHI UFJ FINANCIAL GROUP, INC",67088
2007109,"MUFG AMERICAS HOLDING CORP",1011659
2004892,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
2005187,"BLACKROCK, INC.",2012383
2002450,"CBRE GROUP, INC.",1138118
2002619,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
2002643,"FRANKLIN RESOURCES, INC.",38777
2002217,"KKR & CO., INC.",1404912
2002217,"KKR PRIVATE EQUITY CONGLOMERATE LLC",1957845
2002631,"T. ROWE PRICE GROUP, INC.",1113169
2000979,"PATRIA INVESTMENTS LTD",1825570
2004495,"REGIONS FINANCIAL CORPORATION",1281761
1983026,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
1983026,"BROOKFIELD CORPORATION",1001085
2002819,"BLACKSTONE INC.",1393818
2003125,"BANK OF MONTREAL",9622
1998266,"LPL FINANCIAL HOLDINGS INC.",1397911
2003892,"MANULIFE FINANCIAL CORPORATION",1086888
2005224,"ALTI GLOBAL, INC.",1838615
1999970,"LPL FINANCIAL HOLDINGS INC.",1397911
2001147,"UBS GROUP AG",1610520
2001158,"THE GOLDMAN SACHS GROUP, INC.",886982
2000841,"PIPER SANDLER COMPANIES",1230245
2003585,"OPPENHEIMER HOLDINGS INC.",791963
2001125,"LPL FINANCIAL HOLDINGS INC.",1397911
2001207,"LPL FINANCIAL HOLDINGS INC.",1397911
2000982,"JEFFERIES FINANCIAL GROUP INC.",96223
2001257,"ROBINHOOD MARKETS, INC.",1783879
1997491,"INTERCORP FINANCIAL SERVICES INC.",1615903
2001170,"LPL FINANCIAL HOLDINGS INC.",1397911
2005913,"CI FINANCIAL CORP",1829948
2004507,"WENDEL S.E.",1721938
2001412,"XP INC.",1787425
2003742,"BLACKROCK, INC.",1364742
2003911,"VIRTUS INVESTMENT PARTNERS, INC.",883237
2001179,"LPL FINANCIAL HOLDINGS INC.",1397911
1984595,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
1984595,"BROOKFIELD CORPORATION",1001085
2002532,"DEUTSCHE BANK AG",948046
2003947,"BROOKFIELD CORP",1001085
2003947,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
2001683,"AFFILIATED MANAGERS GROUP, INC.",1004434
2001691,"BANK OF MONTREAL",927971
2003814,"BROOKFIELD CORPORATION",1001085
2003814,"BROOKFIELD ASSET MANAGEMENT LTD",1937926
2006212,"BLACKSTONE INC.",1393818
2007025,"FIRST HORIZON CORP",36966
2001111,"OPPENHEIMER HOLDINGS INC.",791963
1999525,"VALUE LINE, INC.",717720
1995790,"WAFD INC",936528
1998264,"LPL FINANCIAL HOLDINGS INC.",1397911
1999900,"BLUE OWL CAPITAL INC.",1823945
1999900,"ASSURED GUARANTY LTD.",1273813
2001377,"ASSURED GUARANTY LTD.",1273813
2001378,"AFLAC INCORPORATED",4977
2001378,"ASSURED GUARANTY LTD.",1273813
1995636,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837
2002031,"NASDAQ, INC.",1120193
1999704,"FIRST FINANCIAL BANKSHARES, INC.",36029
1974001,"JANUS HENDERSON GROUP PLC",1274173
2002311,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
2002315,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
2002330,"MITSUBISHI UFJ FINANCIAL GROUP, INC",67088
2002407,"BLACKSTONE INC.",1393818
2002412,"BLACKSTONE INC.",1393818
2002348,"AON PLC",1183186
1987360,"MORGAN STANLEY",89542
2001771,"AMERANT BANCORP INC.",1734342
