"FilingID","Country/Authority"
1935106,"Canada - Manitoba Securities Commission"
1935106,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1935106,"Canada - Northwest Territories, Office of the Registrar of Securities"
1943777,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1943009,"United Kingdom - Financial Conduct Authority"
1931189,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1931189,"Ireland -  Central Bank of Ireland"
1931725,"Ireland -  Central Bank of Ireland"
1943576,"United Kingdom - Financial Conduct Authority"
1936519,"Hong Kong - Securities and Futures Commission"
1936519,"Bahamas - Securities Commission of the Bahamas"
1921828,"France - Financial Markets Authority"
1935598,"Canada - Ontario Securities Commission"
1924360,"India - Securities and Exchange Board of India"
1946209,"Dubai - Dubai Financial Services Authority"
1939007,"Switzerland - Swiss Financial Market Supervisory Authority"
1935383,"Singapore - Monetary Authority of Singapore"
1947004,"Canada - Ontario Securities Commission"
1938736,"Dubai - Dubai Financial Services Authority"
1946255,"United Kingdom - Financial Conduct Authority"
1946255,"Australia - Australian Securities and Investments Commission"
1946255,"Other: CHILE- ­ COMISIÓN CLASIFICADORA DE RIESGO"
1946255,"Jersey - Jersey Financial Services Commission"
1937180,"United Kingdom - Financial Conduct Authority"
1937180,"Australia - Australian Securities and Investments Commission"
1937180,"China, People's Republic of - China Securities Regulatory Commission "
1928063,"United Kingdom - Financial Conduct Authority"
1923771,"India - Securities and Exchange Board of India"
1945091,"Bermuda - Bermuda Monetary Authority"
1945091,"Ireland -  Central Bank of Ireland"
1945091,"United Kingdom - Financial Conduct Authority"
1937368,"United Kingdom - Financial Conduct Authority"
1939267,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1939267,"Canada - Ontario Securities Commission"
1939267,"Canada - Nova Scotia Securities Commission"
1939267,"Canada - Quebec, Financial Markets Authority"
1939267,"Canada - Alberta Securities Commission"
1939267,"Canada - Manitoba Securities Commission"
1941608,"Other: MONACO - COMMISSION DE CONTROLE DES ACTIVITES FINANCIERES"
1921178,"United Kingdom - Financial Conduct Authority"
1943473,"Other: CHILE - RISK CLASSIFICATION COMMITTEE"
1945210,"Canada - Nunavut, Registrar of Securities"
1945210,"Canada - New Brunswick Securities Commission"
1945210,"Canada - Ontario Securities Commission"
1945210,"Canada - Prince Edward Island, Securities Office"
1945210,"Canada - Quebec, Financial Markets Authority"
1945210,"Canada - Saskatchewan Financial Services Commission"
1945210,"Canada - Yukon Territories, Registrar of Securities"
1945210,"Canada - Nova Scotia Securities Commission"
1945210,"Canada - Alberta Securities Commission"
1945210,"Canada - British Columbia Securities Commission"
1945210,"Canada - Manitoba Securities Commission"
1945210,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1945210,"Canada - Northwest Territories, Office of the Registrar of Securities"
1943073,"United Kingdom - Financial Conduct Authority"
1942456,"Canada - Ontario Securities Commission"
1940799,"Canada - Quebec, Financial Markets Authority"
1940799,"Canada - Alberta Securities Commission"
1940799,"Canada - British Columbia Securities Commission"
1940799,"Canada - Ontario Securities Commission"
1940799,"Canada - Manitoba Securities Commission"
1940799,"Canada - Prince Edward Island, Securities Office"
1940799,"Canada - Saskatchewan Financial Services Commission"
1940799,"Canada - Yukon Territories, Registrar of Securities"
1940799,"Canada - New Brunswick Securities Commission"
1940799,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1940799,"Canada - Northwest Territories, Office of the Registrar of Securities"
1940799,"Canada - Nova Scotia Securities Commission"
1940799,"Canada - Nunavut, Registrar of Securities"
1934884,"India - Securities and Exchange Board of India"
1940410,"Liechtenstein - Financial Market Authority"
1925582,"Japan - Financial Services Agency"
1937813,"Other: MONACO - COMMISSION DE CONTROLE DES ACTIVITES FINANCIERES"
1931220,"Ireland -  Central Bank of Ireland"
1936589,"Ireland -  Central Bank of Ireland"
1936581,"Ireland -  Central Bank of Ireland"
1913875,"Hong Kong - Securities and Futures Commission"
1934565,"Hong Kong - Securities and Futures Commission"
1934565,"Ireland -  Central Bank of Ireland"
1937691,"Other: ESTONIAN FINANCIAL SUPERVISION AUTHORITY (FINANTSINSPEKTSIOON)"
1940601,"Canada - British Columbia Securities Commission"
1947824,"Ireland -  Central Bank of Ireland"
1937942,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1948437,"Ireland -  Central Bank of Ireland"
1934714,"United Kingdom - Financial Conduct Authority"
1940601,"Canada - Alberta Securities Commission"
1940601,"Canada - Manitoba Securities Commission"
1940601,"Canada - Ontario Securities Commission"
1940601,"Canada - Saskatchewan Financial Services Commission"
1933994,"United Kingdom - Financial Conduct Authority"
1943867,"Other: NORWAY - THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1943867,"Australia - Australian Securities and Investments Commission"
1935218,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1935218,"Hong Kong - Securities and Futures Commission"
1917271,"Mauritius, Republic of - Financial Services Commission"
1926159,"Switzerland - Swiss Financial Market Supervisory Authority"
1935668,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1935668,"Cayman Islands - Cayman Islands Monetary Authority"
1935668,"United Kingdom - Financial Conduct Authority"
1930279,"Hong Kong - Securities and Futures Commission"
1935945,"Switzerland - Swiss Financial Market Supervisory Authority"
1939885,"United Kingdom - Financial Conduct Authority"
1944397,"Chile - Superintendent of Pension Fund Administrators"
1930990,"United Kingdom - Financial Conduct Authority"
1930990,"Australia - Australian Securities and Investments Commission"
1940489,"Canada - Alberta Securities Commission"
1940489,"Canada - British Columbia Securities Commission"
1940489,"Canada - Manitoba Securities Commission"
1940489,"Canada - New Brunswick Securities Commission"
1940489,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1940489,"Canada - Northwest Territories, Office of the Registrar of Securities"
1940489,"Canada - Nova Scotia Securities Commission"
1940489,"Canada - Nunavut, Registrar of Securities"
1940489,"Canada - Ontario Securities Commission"
1940489,"Canada - Prince Edward Island, Securities Office"
1940489,"Canada - Quebec, Financial Markets Authority"
1940489,"Canada - Saskatchewan Financial Services Commission"
1940489,"Canada - Yukon Territories, Registrar of Securities"
1947099,"Canada - Alberta Securities Commission"
1945802,"Other: CHILEAN RISK COMMISSION"
1945802,"Cayman Islands - Cayman Islands Monetary Authority"
1946590,"Australia - Australian Securities and Investments Commission"
1944285,"Switzerland - Swiss Financial Market Supervisory Authority"
1930221,"Australia - Australian Securities and Investments Commission"
1944274,"United Kingdom - Financial Conduct Authority"
1934579,"United Kingdom - Financial Conduct Authority"
1947099,"Canada - British Columbia Securities Commission"
1947099,"Canada - Manitoba Securities Commission"
1947099,"Canada - Quebec, Financial Markets Authority"
1947099,"Canada - Ontario Securities Commission"
1936086,"Canada - Alberta Securities Commission"
1936086,"Canada - Quebec, Financial Markets Authority"
1936086,"Canada - British Columbia Securities Commission"
1936086,"Canada - Manitoba Securities Commission"
1936086,"Canada - Ontario Securities Commission"
1926873,"Canada - Nova Scotia Securities Commission"
1926873,"Canada - Manitoba Securities Commission"
1926873,"Canada - British Columbia Securities Commission"
1926873,"Canada - Alberta Securities Commission"
1926873,"Canada - Saskatchewan Financial Services Commission"
1926873,"Canada - Quebec, Financial Markets Authority"
1926873,"Netherlands - The Netherlands Authority for the Financial Markets"
1926873,"Canada - New Brunswick Securities Commission"
1926873,"Canada - Prince Edward Island, Securities Office"
1926873,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1926873,"Dubai - Dubai Financial Services Authority"
1926873,"Canada - Ontario Securities Commission"
1935100,"Cayman Islands - Cayman Islands Monetary Authority"
1932756,"United Kingdom - Financial Conduct Authority"
1934124,"India - Securities and Exchange Board of India"
1932756,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1932756,"China, People's Republic of - China Securities Regulatory Commission "
1932756,"Canada - Alberta Securities Commission"
1932756,"Canada - Ontario Securities Commission"
1932756,"Canada - British Columbia Securities Commission"
1932756,"Taiwan - Financial Supervisory Commission"
1932756,"Canada - Quebec, Financial Markets Authority"
1932756,"Australia - Australian Securities and Investments Commission"
1932756,"Other: FINANCIAL SECTOR CONDUCT AUTHORITY"
1934956,"Canada - New Brunswick Securities Commission"
1934956,"Canada - Ontario Securities Commission"
1934956,"Canada - British Columbia Securities Commission"
1934956,"Canada - Manitoba Securities Commission"
1934956,"Canada - Alberta Securities Commission"
