"FilingID","ReferenceID","Filing/Relying Adviser"
2003258,487841,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487841
2003258,487839,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487839
2002271,481399,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481399
2002271,481418,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481418
2002271,481428,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481428
2002271,481430,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481430
2002271,481434,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481434
2002271,481442,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481442
2002271,481444,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481444
2002271,481445,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481445
2002271,481512,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481512
2002271,481532,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481532
2002271,481535,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481535
2002271,481539,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481539
2002271,481548,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481548
2002271,481550,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481550
2002271,481551,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481551
2002271,481559,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481559
2002271,481567,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481567
2002271,481569,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         481569
2002271,427215,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427215
2002271,427216,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427216
2002271,427201,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427201
2002271,427219,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427219
2002271,427220,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427220
2002271,427222,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427222
2002271,427223,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427223
2002271,427224,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427224
2002271,427186,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427186
2002271,427205,"GENERAL ATLANTIC SERVICE COMPANY, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         427205
