"FilingID","ReferenceID","Form D File Number"
1980176,310262,"021-430006"
1980674,216206,"021-202969"
1980674,216211,"021-255538"
1980674,216182,"021-224819"
1980674,216196,"021-277312"
1980672,228842,"021-343868"
1980672,228842,"021-343866"
1980672,420794,"021-2006374"
1980672,420794,"021-2006378"
1980749,394656,"021-507316"
1980749,284224,"021-350228"
1980749,452259,"021-531066"
1980500,438522,"021-520112"
1980636,452445,"021-541841"
1980758,248163,"021-360248"
1980758,362020,"021-467677"
1980758,362027,"021-467674"
1980758,295201,"021-405839"
1980758,295257,"021-417549"
1980758,22821,"021-135775"
1980758,217207,"021-304276"
1980758,22836,"021-151919"
1980758,62682,"021-207363"
1980758,173449,"021-240151"
1980758,295231,"021-417548"
1980758,295274,"021-417544"
1980758,22644,"021-129255"
1980758,248165,"021-374394"
1980758,301425,"021-44053"
1980758,200083,"021-304276"
1980758,217251,"021-129255"
1980758,362039,"021-472450"
1980758,295052,"021-392059"
1980758,254043,"021-390314"
1980758,248162,"021-355166"
1980758,22847,"021-87139"
1980758,295146,"021-401255"
1980807,478258,"021-527306"
1980822,368616,"021-484519"
1980301,369555,"021-264092"
1980301,215450,"021-139490"
1980301,215446,"021-259166"
1980301,215448,"021-836048"
1980301,215452,"021-326100"
1980913,320170,"021-469295"
1980913,217441,"021-331944"
1980913,373410,"021-500758"
1980913,285778,"021-392872"
1980913,320169,"021-469297"
1980913,320172,"021-469299"
1980913,320173,"021-469296"
1980913,452981,"021-536543"
1980913,453054,"021-536546"
1978298,452434,"021-511305"
1980133,169204,"021-244676"
1980133,34872,"021-304549"
1978298,293014,"021-421297"
1978298,262946,"021-382507"
1978298,190837,"021-284432"
1978298,190838,"021-286898"
1978298,224565,"021-326770"
1978298,244225,"021-341997"
1978298,339814,"021-467614"
1978298,376502,"021-487462"
1978298,418490,"021-488594"
1978298,376506,"021-490559"
1978298,339793,"021-467613"
1978298,339815,"021-467615"
1978298,339782,"021-460307"
1978298,376493,"021-488595"
1978298,376497,"021-485058"
1943090,185452,"021-283180"
1943090,398744,"021-513171"
1943090,197747,"021-514361"
1979443,479685,"021-534210"
1979443,479671,"021-534209"
1979443,479693,"021-534212"
1980323,440118,"021-194717"
1980323,7259,"021-41230"
1977914,425161,"021-509540"
1977914,373352,"021-538201"
1977914,336714,"021-514609"
1977914,343918,"021-45152301"
1977914,343918,"021-451523"
1977914,336624,"021-281407"
1977914,336727,"021-288562"
1977914,336681,"021-515171"
1977914,336694,"021-354057"
1977914,336718,"021-514639"
1977914,336725,"021-390287"
1977914,336729,"021-340464"
1977914,336651,"021-349313"
1977914,336715,"021-515207"
1977914,373347,"021-538200"
1977914,437262,"021-535062"
1980109,454162,"021-535827"
1980109,454161,"021-516491"
1980109,373171,"021-486647"
1980109,270108,"021-401711"
1980109,316134,"021-445475"
1980109,291906,"021-407168"
1980109,291902,"021-407144"
1980109,270107,"021-384285"
1980109,291915,"021-418780"
1980109,291915,"021-420786"
1980109,291915,"021-417397"
1980109,291915,"021-420781"
1980109,291915,"021-422329"
1980109,291915,"021-412070"
1980109,270106,"021-334188"
1980109,270096,"021-320882"
1980109,291879,"021-418620"
1977451,363348,"021-466635"
1977451,363351,"021-466634"
1977451,363350,"021-355076"
1977903,483587,"021-275315"
1977903,483585,"021-275315"
1977903,191154,"021-275315"
1977916,11079,"021-160600"
1977916,11039,"021-99616"
1977916,11062,"021-99616"
1977916,11064,"021-160600"
1977629,368641,"021-499054"
1977629,312054,"021-32350076"
1976825,45199,"021-1559774"
1978060,437216,"021-246076"
1978060,437216,"021-364708"
1978060,437220,"021-522610"
1978075,222455,"021-323151"
1978075,238685,"021-355111"
1978075,376675,"021-491887"
1972177,299207,"021-417401"
1972177,365083,"021-471175"
1972177,362007,"021-447651"
1972177,362013,"021-447653"
1972177,248068,"021-370866"
1972177,365184,"021-471178"
1972177,364930,"021-466698"
1972177,365185,"021-474092"
1972177,364929,"021-418992"
1974939,38803,"021-109680"
1974939,38713,"021-48134"
1974939,417488,"021-504237"
1974939,257397,"021-364649"
1974939,38644,"021-126847"
1974939,38687,"021-63819"
1974939,285521,"021-416273"
1974939,72968,"021-48134"
1974939,38671,"021-55720"
1974939,38698,"021-86350"
1964728,310172,"021-442159"
1964728,170097,"021-232443"
1964728,171918,"021-250675"
1972725,242880,"021-101471"
1974988,450686,"021-338234"
1974988,184009,"021-256929"
1974988,29449,"021-110250"
1974988,62946,"021-192625"
1974988,29421,"021-110247"
1974988,29401,"021-110249"
1974988,29388,"021-110247"
1974988,230473,"021-340335"
1974988,443381,"021-340335"
1974988,443391,"021-350369"
1974988,443388,"021-350369"
1974988,184012,"021-273534"
1974988,29464,"021-110249"
1974988,252428,"021-383557"
1974988,166795,"021-240242"
1974988,29317,"021-110250"
1974988,230475,"021-338234"
1974988,233695,"021-350369"
1975027,186872,"021-282408"
1975027,302944,"021-385518"
1975027,215447,"021-282408"
1975027,18931,"021-104946"
1975027,18931,"021-139485"
1975041,368905,"021-67171"
1975041,357956,"021-452541"
1975041,172139,"021-241889"
1975041,418397,"021-477878"
1975041,283663,"021-395250"
1975041,185566,"021-255960"
1975041,59231,"021-205173"
1975041,249093,"021-364449"
1975041,59229,"021-140342"
1975041,59230,"021-205120"
1975041,368901,"021-360048"
1975041,51139,"021-183714"
1975041,449746,"021-522532"
1979800,320600,"021-463556"
1979800,206312,"021-309000"
1979800,320595,"021-455807"
1979800,355370,"021-476553"
1979800,237647,"021-358629"
1979800,237647,"021-361046"
1979800,206314,"021-276941"
1979800,281793,"021-419873"
1979800,219761,"021-213119"
1979800,219761,"021-335984"
1979800,479125,"021-516163"
1981273,308234,"021-407835"
1981353,254728,"021-367776"
1981353,254728,"021-367783"
1981353,202464,"021-295264"
1981353,50148,"021-195692"
1981353,50148,"021-458500"
1980848,316544,"021-463512"
1980848,316481,"021-468726"
1980848,177789,"021-257217"
1980848,227484,"021-331653"
1980848,7732,"021-137963"
1980848,46834,"021-181634"
1980848,437270,"021-526343"
1980848,192886,"021-285989"
1980848,228922,"021-341229"
1980848,49009,"021-187315"
1980848,64043,"021-211017"
1980848,245186,"021-349763"
1980848,166700,"021-188052"
1980848,228924,"021-338722"
1980848,49008,"021-187313"
1980848,7737,"021-137332"
1980848,214635,"021-324403"
1980848,169963,"021-249487"
1980848,214638,"021-324405"
1980848,7553,"021-89587"
1980848,7566,"021-101956"
1980848,271854,"021-40340"
1980848,49006,"021-187669"
1980848,177791,"021-257217"
1980848,313802,"021-450795"
1980848,313802,"021-450796"
1980848,370060,"021-493583"
1980848,366278,"021-484780"
1980848,169960,"021-253556"
1980848,364019,"021-471776"
1980848,364022,"021-471833"
1980848,120493,"021-235135"
1980848,245219,"021-357082"
1980848,422940,"021-510301"
1980848,211072,"021-315717"
1980848,7752,"021-200081"
1980848,366271,"021-480923"
1980848,252093,"021-384893"
1980848,58053,"021-207452"
1980848,214631,"021-322969"
1980848,8424,"021-43616"
1980848,177787,"021-257668"
1980848,196276,"021-295035"
1980848,228928,"021-336503"
1980848,8605,"021-123246"
1980848,312354,"021-447320"
1980848,312354,"021-455482"
1980848,312354,"021-447324"
1980848,55371,"021-196594"
1980848,420687,"021-495108"
1980848,309760,"021-434819"
1980848,55378,"021-197974"
1980848,55378,"021-197975"
1980848,236764,"021-352704"
1980848,58200,"021-239926"
1980848,58200,"021-204029"
1980848,224032,"021-192953"
1980848,49007,"021-188052"
1980848,432014,"021-523487"
1980848,422941,"021-511615"
1980848,167839,"021-248201"
1980848,245185,"021-359394"
1980848,309761,"021-434294"
1980848,223899,"021-275057"
1980848,48999,"021-188425"
1980848,249175,"021-366170"
1980848,249175,"021-366169"
1980848,247412,"021-364016"
1981105,483004,"021-517448"
1981105,482768,"021-531093"
1981105,173994,"021-253138"
1981105,299353,"021-425998"
1981105,299353,"021-425995"
1981105,418926,"021-493575"
1981105,42965,"021-125090"
1981105,42947,"021-9999999999"
1981105,195476,"021-293012"
1981105,42908,"021-125097"
1981105,195477,"021-284856"
1981105,42938,"021-125096"
1981105,299295,"021-403833"
1981105,42926,"021-125092"
1981105,232386,"021-339317"
1981105,42837,"021-125088"
1981105,173900,"021-242923"
1981105,42981,"021-133361"
1981105,73695,"021-229587"
1981105,232390,"021-355482"
1981105,173942,"021-229589"
1981105,362744,"021-438960"
1981105,173965,"021-245488"
1981105,418942,"021-478922"
1981105,232391,"021-355486"
1981105,418877,"021-489486"
1981105,173961,"021-999999"
1981105,73669,"021-229586"
1981105,223156,"021-999999"
1981105,173997,"021-999999"
1981105,42912,"021-125091"
1981105,58296,"021-199790"
1981105,232387,"021-9999999999"
1981105,195478,"021-9999999"
1981105,186389,"021-999999"
1981105,360921,"021-455988"
1981105,232389,"021-355484"
1981105,362704,"021-437187"
1981105,223181,"021-999999"
1981105,223187,"021-999999"
1981105,42932,"021-125093"
1981105,252678,"021-364283"
1981105,252678,"021-364282"
1981105,173958,"021-245483"
1981105,287430,"021-399879"
1981105,299309,"021-404183"
1981105,299309,"021-404184"
1981105,219350,"021-999999"
1981105,186411,"021-999999"
1981105,42985,"021-137546"
1981105,287416,"021-420631"
1981105,287440,"021-400028"
1981105,287424,"021-420635"
1981105,43053,"021-161195"
1981105,42867,"021-125086"
1981105,43066,"021-161193"
1981105,195479,"021-294927"
1981105,482662,"021-517446"
1981105,482631,"021-506198"
1981105,482696,"021-506204"
1981105,482634,"021-517447"
1981105,483003,"021-517443"
1981105,482674,"021-509065"
1981105,482753,"021-531089"
1981105,480590,"021-517442"
1981105,419020,"021-48970"
1981105,232388,"021-355481"
1981105,419000,"021-478924"
1981105,419024,"021-484050"
1981105,43102,"021-9999999999"
1981252,366118,"021-492562"
1981252,372225,"021-525951"
1981438,6568,"021-143519"
1981438,6566,"021-205675"
1978180,375771,"021-480697"
1978180,375725,"021-497472"
1978180,216165,"021-344486"
1978180,342485,"021-456709"
1978180,342696,"021-459747"
1978180,288359,"021-414303"
1978180,450990,"021-509672"
1978180,450994,"021-508169"
1978180,254732,"021-367368"
1978180,342561,"021-456709"
1978180,342357,"021-466729"
1978180,288226,"021-414290"
1978180,200847,"021-274102"
1978180,341954,"021-46774"
1978180,200853,"021-293263"
1978180,342135,"021-466729"
1978180,254730,"021-367367"
1978180,341779,"021-465507"
1978180,342188,"021-441896"
1978180,375679,"021-476251"
1978185,308156,"021-439683"
1978185,172461,"021-255955"
1977623,320600,"021-463556"
1977623,206312,"021-309000"
1977623,320595,"021-455807"
1977623,355370,"021-476553"
1977623,237647,"021-358629"
1977623,237647,"021-361046"
1977623,206314,"021-276941"
1977623,281793,"021-419873"
1977623,219761,"021-213119"
1977623,219761,"021-335984"
1977623,479125,"021-516163"
1970904,246556,"021-370351"
1970904,48213,"021-172833"
1970904,167935,"021-245985"
1970904,250903,"021-386786"
1965243,257752,"021-51758"
1975816,317019,"021-287897"
1978979,6208,"021-174055"
1979024,38842,"021-132737"
1979024,297036,"021-419558"
1979024,38413,"021-40819"
1979024,255004,"021-358291"
1979024,254788,"021-359245"
1979024,38283,"021-52405"
1979024,234333,"021-342186"
1979024,254792,"021-360657"
1979024,372228,"021-478882"
1979024,224887,"021-322643"
1979024,38326,"021-113588"
1979024,197426,"021-282445"
1979024,38757,"021-64311"
1979024,37161,"021-142441"
1975043,228364,"021-163825"
1975043,366070,"021-1986128"
1975057,218804,"021-317249"
1975057,218804,"021-317250"
1975072,229665,"021-349385"
1975064,305265,"021-381600"
1970089,366800,"021-256805"
1970089,366800,"021-256804"
1970089,366800,"021-263982"
1970089,366800,"021-267067"
1922667,276788,"021-1876962"
1970089,482016,"021-525253"
1970089,482016,"021-525255"
1970089,482024,"021-525253"
1970089,482024,"021-525255"
1970089,482006,"021-525253"
1970089,482006,"021-525255"
1970089,482021,"021-525253"
1970089,482021,"021-525255"
1970089,366799,"021-442074"
1970089,366799,"021-442075"
1970089,366797,"021-442074"
1970089,366797,"021-442075"
1970089,366811,"021-1816451"
1970089,366811,"021-1824180"
1970089,366811,"021-1816439"
1970089,366808,"021-1816439"
1970089,366808,"021-1816451"
1970089,366808,"021-1824180"
1970089,366814,"021-1743169"
1970089,366813,"021-1810999"
1970089,366813,"021-1811001"
1970089,366810,"021-256803"
1970089,366810,"021-267068"
1970089,366810,"021-258600"
1970089,366810,"021-256802"
1970222,227344,"021-336426"
1970222,195417,"021-285313"
1970222,307671,"021-432024"
1970222,246785,"021-369236"
1974678,306463,"021-417415"
1974678,213361,"021-400707"
1975217,13572,"021-45870"
1975217,200538,"021-305778"
1975217,364103,"021-473781"
1975217,200563,"021-305780"
1975217,282820,"021-421882"
1975217,13616,"021-40582"
1975217,184049,"021-278475"
1975217,318375,"021-464480"
1975217,318375,"021-464481"
1975217,228921,"021-348089"
1975217,228921,"021-376784"
1975217,228921,"021-385577"
1975217,228921,"021-406256"
1975217,228958,"021-348089"
1975217,228958,"021-376784"
1975217,228958,"021-385577"
1975217,228958,"021-406256"
1975217,364148,"021-473780"
1975217,364148,"021-473782"
1975217,318323,"021-464481"
1975217,318323,"021-464480"
1975217,364152,"021-473782"
1975217,364152,"021-473780"
1975217,184052,"021-278474"
1975217,441319,"021-528230"
1975217,440706,"021-526304"
1973373,183945,"021-268281"
1973373,185516,"021-281142"
1973373,24288,"021-161889"
1973373,70326,"021-233216"
1973373,367362,"021-484730"
1973373,185517,"021-271703"
1973373,50844,"021-161889"
1973373,50899,"021-161889"
1973373,73367,"021-276924"
1973373,27155,"021-172307"
1973373,367369,"021-484514"
1973373,367367,"021-484512"
1973373,360462,"021-418999"
1973373,303403,"021-368535"
1973373,201545,"021-301973"
1973373,24264,"021-161889"
1973373,23845,"021-201866"
1973373,23845,"021-111195"
1973373,27085,"021-72310"
1973373,64959,"021-216971"
1973373,64959,"021-252812"
1973373,27125,"021-121727"
1973373,27079,"021-76270"
1973373,24294,"021-161889"
1973373,23876,"021-182780"
1973373,202277,"021-269378"
1973373,244634,"021-16889"
1973373,360461,"021-431274"
1973373,435432,"021-529598"
1973373,435439,"021-529598"
1973373,25429,"021-190284"
1973373,218102,"021-276927"
1973373,312415,"021-451778"
1973373,24274,"021-161889"
1973373,303418,"021-368579"
1973373,24252,"021-161889"
1973373,24034,"021-161889"
1973373,27138,"021-190647"
1973373,27138,"021-172306"
1973373,24297,"021-161889"
1973373,25430,"021-303337"
1973373,303397,"021-269378"
1973373,482873,"021-502615"
1973373,25434,"021-180624"
1973373,25434,"021-110535"
1973373,27112,"021-129032"
1973373,303354,"021-397769"
1973373,27090,"021-121746"
1973373,251925,"021-378314"
1973373,180387,"021-269378"
1973373,70323,"021-233213"
1973373,64961,"021-182780"
1973373,27075,"021-72309"
1973373,193585,"021-293166"
1973373,202280,"021-269378"
1973373,183928,"021-268280"
1973373,241589,"021-241502"
1973373,185513,"021-279783"
1973373,482874,"021-520455"
1973373,202275,"021-269378"
1973373,303351,"021-1754752"
1973373,364158,"021-182780"
1973373,29420,"021-161889"
1973373,188905,"021-268282"
1973373,24029,"021-161889"
1973373,241583,"021-344053"
1973373,303424,"021-384955"
1973373,50852,"021-161889"
1973373,24291,"021-161889"
1973373,24268,"021-161889"
1973373,435431,"021-529598"
1973373,435436,"021-529598"
1973373,435435,"021-529598"
1981264,356665,"021-442763"
1981264,289268,"021-423817"
1981264,269601,"021-412604"
1981264,269552,"021-412602"
1981264,251455,"021-388274"
1981264,251452,"021-388274"
1981264,269553,"021-412596"
1981264,269554,"021-412600"
1981264,377817,"021-412600"
1981264,276854,"021-412603"
1981264,289269,"021-412595"
1981264,269555,"021-412597"
1981264,269550,"021-398838"
1981264,356693,"021-442764"
1981589,366567,"021-51216"
1975133,484752,"021-516874"
1975133,369436,"021-499245"
1975133,264349,"021-383503"
1975133,213322,"021-322745"
1975133,34476,"021-155283"
1975133,183820,"021-488813"
1975133,66964,"021-220598"
1975133,357107,"021-425305"
1975133,356978,"021-471708"
1975133,211365,"021-154069"
1975133,211365,"021-154072"
1975133,36631,"021-77410"
1975133,35887,"021-67332"
1975133,213344,"021-322744"
1975133,211367,"021-154069"
1975133,211367,"021-154072"
1975133,211370,"021-155283"
1975133,309782,"021-425303"
1975133,309157,"021-411462"
1975133,281486,"021-425305"
1975133,281486,"021-220169"
1975133,197892,"021-294249"
1975133,309785,"021-425303"
1975133,312823,"021-450445"
1975133,309788,"021-425387"
1975133,251796,"021-375798"
1975133,62753,"021-488815"
1975133,197888,"021-296091"
1975133,36120,"021-67332"
