"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
1920816,337337,171100,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,300175,143161,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,300175,143162,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,256742,113239,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,211230,117433,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,256742,113238,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,213120,117437,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,211229,117443,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,300176,143163,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,300176,143164,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,300174,143155,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,300174,143156,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,195587,143148,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,300173,143149,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1931127,181130,69644,"N","BUTLER CAPITAL PARTNERS","8-53413",114242,"NEW YORK","New York","United States","N"
1922945,229954,260803,"N","CASTLE PLACEMENT, LLC","8-69612",189511,"NEW YORK","New York","United States","N"
1922945,229954,260804,"N","FURTHER CAPITAL PARTNERS LTD.","",,"TORONTO","","Canada","N"
1931263,422952,250190,"N","WILLIAM BLAIR & COMPANY L.L.C.","801-688",1252,"CHICAGO","Illinois","United States","N"
1932029,371967,260976,"N","MONITOR CAPITAL LLC","8-67782",146087,"RESEDA","California","United States","N"
1932029,236032,100388,"N","HUDSON PARTNERS SECURITIES LLC","8-67726",145425,"STAMFORD","Connecticut","United States","Y"
1933873,264065,119861,"N","MVISION PRIVATE EQUITY ADVISERS LIMITED","",,"LONDON","","United Kingdom","N"
1914383,367406,260932,"N","CONNAUGHT (U.S.) LLC","8-70323",300401,"LONDON","","United Kingdom","N"
1914383,433671,260933,"N","CONNAUGHT (U.S.) LLC","8-70323",300401,"LONDON","","United Kingdom","N"
1914383,433669,260934,"N","CONNAUGHT (U.S.) LLC","8-70323",300401,"LONDON","","United Kingdom","N"
1914383,367407,200448,"N","CONNAUGHT (U.S.) LLC","8-70323",300401,"LONDON","","United Kingdom","N"
1914383,367408,200449,"N","CONNAUGHT (U.S.) LLC","8-70323",300401,"LONDON","","United Kingdom","N"
1926353,178873,155639,"N","HOLLISTER ASSOCIATES, LLC","8-69538",173366,"MOUNT PLEASANT","South Carolina","United States","N"
1926353,178873,226725,"N","KELSON CAPITAL LLC","8-68147",149477,"STAMFORD","Connecticut","United States","N"
1927419,234643,110095,"N","PROFOR ADVISORS","8-66974",136084,"RYE BROOK","New York","United States","N"
1927419,247208,109410,"N","WILLIAMS TRADING LLC","8-50372",43678,"WESTPORT","Connecticut","United States","N"
