"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
1912927,25290,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,198229,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,25257,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,233658,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,233662,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,25273,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,45133,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,25264,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,25259,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,25265,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,25289,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1912927,199439,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST COMPANY","TORONTO, ON","","Canada","N","",549300IYUUH221WBZ505
1925745,64763,"HSBC BANK (CHINA) COMPANY LIMITED","HSBC BANK (CHINA) COMPANY LIMITED","SHANGHAI","","China","N","",
1925745,64763,"BNP PARIBAS, ACTING THROUGH ITS SINGAPORE BRANCH","BNP PARIBAS, ACTING THROUGH ITS SINGAPORE BRANCH","SINGAPORE","","Singapore","N","",
1925745,193083,"HSBC BANK (CHINA) COMPANY LIMITED","HSBC BANK (CHINA) COMPANY LIMITED","SHANGHAI","","China","N","",
1925745,193083,"BNP PARIBAS, ACTING THROUGH ITS SINGAPORE BRANCH","BNP PARIBAS, ACTING THROUGH ITS SINGAPORE BRANCH","SINGAPORE","","Singapore","N","",
1933403,46661,"INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257",
1932266,364240,"CITIZENS BANK, N.A.","CITIZENS","PROVIDENCE","Rhode Island","United States","N","",DRMSV1Q0EKMEXLAU1P80
1932266,364240,"STIFEL BANK","STIFEL BANK","ST. LOUIS","Missouri","United States","N","",JY55GUVP9NLVWS4QEU03
1928283,436431,"JPMORGAN CHASE BANK, N.A.","JPMORGAN CHASE BANK","SAN FRANCISCO","California","United States","N","",7H6GLXDRUGQFU57RNE97
1924120,249631,"MAPLES FUND SERVICES (CAYMAN) LIMITED","MAPLES FUND SERVICES (CAYMAN) LIMITED","CAYMAN","","Cayman Islands","N","",
1924120,249630,"MAPLES FUND SERVICES (CAYMAN) LIMITED","MAPLES FUND SERVICES (CAYMAN) LIMITED","CAYMAN","","Cayman Islands","N","",
1926080,370433,"JPMORGAN PRIVATE BANK","JP MORGAN CHASE PRIVATE BANK","SANTA CRUZ","California","United States","N","",
1926080,317562,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","MENLO PARK","California","United States","N","",
1926080,281151,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","MENLO PARK","California","United States","N","",
1932979,310721,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",
1920705,435683,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","NEW YORK","New York","United States","N","8-16514",
1931022,419907,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",
1922610,309338,"STATE STREET CUSTODIAL SERVICES (IRELAND) LIMITED","STATE STREET CUSTODIAL SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","",
1922610,309338,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","QUINCY","Massachusetts","United States","N","",
1931452,313585,"NORTHERN TRUST","NORTHERN TRUST","DUBLIN","","Ireland","N","",
1928294,227022,"FIDELITY DISTRIBUTORS COMPANY LLC","FIDELITY DISTRIBUTORS COMPANY LLC","SMITHFIELD","Rhode Island","United States","N","8-35097",
1928294,234254,"FIDELITY DISTRIBUTORS COMPANY LLC","FIDELITY DISTRIBUTORS COMPANY LLC","SMITHFIELD","Rhode Island","United States","N","8-35097",
1929296,54635,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","New York","United States","N","8-129",
1929296,54634,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","New York","United States","N","8-129",
1929296,54634,"JPMORGAN CHASE","CHASE","NEW YORK","New York","United States","N","",
1928015,421122,"NORTHERN TRUST SECURITIES, INC.","NORTHERN TRUST SECURITIES, INC.","JERSEY CITY","New Jersey","United States","N","8-23689",
1928015,421122,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","New York","United States","N","8-129",
1928015,421122,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","NEW YORK","New York","United States","N","8-15869",
1919739,435456,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221",
