"FilingID","CIK"
1996816,1569532
1987589,1869164
2005338,1854794
2001190,1427448
2003895,1692820
2004383,205307
2002217,200401
2002217,1329948
2004495,716187
2006088,99947
2004132,1966640
2004328,1601384
2006222,1593177
2005698,2038971
2006278,887777
2004535,1968109
2001622,1606609
2001612,1844103
2001496,1167487
2000352,1033427
2001199,1800234
2001641,1582272
2001664,1385495
2000847,16453
2001426,1559771
2002075,1055290
2002083,1875768
2001329,1689227
2002252,947529
1974001,812295
2002304,1317784
2002314,1767306
1997491,1941369
2000970,2052798
2003911,1387941
1984595,1504716
2003947,1895231
2003814,1590912
2002145,1569866
2001795,1456098
2001812,1218333
2001824,1991518
2001869,1728778
2001885,1409427
2001894,1107261
2001914,1801868
2002679,1512173
2002582,1907240
2002560,1316900
2001839,1021258
2001697,1913043
2002770,1332784
2002612,2011218
1996235,1909851
1999896,925208
1999896,2010942
2004424,2063897
2003456,1684858
2004368,2007175
2004844,1281084
2003210,1683059
2002644,1940646
2005006,1992825
2005015,1963421
1994136,1512024
2002156,1843294
2001910,1810089
2002308,1767306
2002316,1767306
2000344,1910321
2002355,1726752
2002382,1802080
2002407,1466125
2002412,1812870
2001237,1654033
2001575,1759578
2002433,1586767
2002494,2059649
1997718,1846991
2002536,1061186
2002895,1345717
2000790,1752035
2003004,2035216
1996335,1706327
2002832,1720235
2002175,1755368
2003113,1661245
2001579,1632929
2003125,1336488
2005881,102909
2006974,1633901
2005933,160797
2004697,764739
2000509,1803229
2007070,1767306
1998065,1508822
2001902,2009781
2003700,1666363
2005170,1798986
2005101,1692820
2005314,1351841
2005358,1509973
2005380,1092524
2005380,853784
2005392,1806619
2001635,1591122
2004921,1127612
2005025,1362941
2004933,1633516
2003666,801121157
2005410,1734398
2005507,1799957
2004104,1730456
2003220,1882466
1996990,1729854
2005589,1290668
2004847,1846352
2001436,1914558
2005681,1140436
2005880,2021232
2005927,1817516
2005980,1811827
2005421,1587114
2004218,1430310
1996844,2022634
2002640,1566691
2002381,1914515
2002787,1680613
2002658,1739043
2000979,1536362
2003284,1007444
2003606,712011
2003598,2056245
2003846,1616654
2003858,1039128
2003963,1697723
2003968,1908607
1999970,1007444
1995378,1846444
2001147,861177
2001147,1132716
2001147,903954
2001152,1907666
2001158,769993
2001158,734700
2001158,42352
2001158,1958244
1998266,1616654
2001125,1639071
2001207,313171
2001222,1616628
2001268,1508195
2001257,2067588
2001352,1510434
1996895,1439289
2001364,158044
2001458,2011891
2003301,1594417
2003530,1964831
2001170,1616654
2003844,1659851
2001179,1926313
2002073,1511888
2002532,1376501
1995969,1841979
2004005,1844201
1999533,1388838
1997514,1908288
2006000,1821455
2003162,1972750
2006161,1751412
2004507,1523665
2006101,1005441
2006343,1388838
2006350,1846208
2000440,1910168
2001564,842766
2002245,1666759
1995749,1478215
2001790,2055130
2002378,1612041
1992186,1992825
2004042,1846310
1998930,1564770
2004065,1531809
2004108,1729093
2004180,1655982
2004207,1536444
1999683,2049749
2004401,1368427
2003889,1694080
2003496,882928
2004599,1586052
2004610,1984555
1997098,1635663
1997863,891943
2005166,1894921
2005679,1360798
2000850,1339270
2005694,1461287
2005709,2021232
2003101,947529
2002926,1391166
2000184,1488106
2003064,1080628
2003057,2059649
2002448,2053807
2003250,1775917
2001679,1841633
2003333,1105467
2005460,1799006
2001132,1179392
2005888,2030780
2005925,1345576
2005938,1817516
2005078,1543099
2005078,49709
2005975,1909570
2004724,1803556
2001143,1478735
2004946,1308778
2003594,169507
2005913,1569608
2005902,1811242
2006444,1512814
2006439,2003615
2007029,1727917
2006839,1566691
2007035,1616628
2007073,1915315
2007131,1508822
2007136,901032026
2007158,1650393
2007170,1682057
1999525,1540826
1996088,1763404
1998264,1926313
2001154,1907666
2001186,938206
1985038,1625800
1999900,1591307
2001377,1427430
1991989,1733356
2001422,1996454
2004642,1054677
2004025,1802533
1984303,1884018
2003309,1484205
2004707,1776588
2003827,1135778
2003924,1926313
2003872,1633516
2003990,1800234
2003932,53903
2003932,810417
2003932,1130371
2003932,1512995
2003707,1389989
1999725,1919344
2003188,2038971
2003680,1316900
2003695,1909851
