"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1993568,"MV STARTUP FUND XIX LLC SERIES 4",805-3611053994,73875,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",167000,5000,21,0,0,"N",5,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MV STARTUP FUND XVII LLC SERIES 2",805-2935488726,73839,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",96000,1000,11,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCLXI LLC SERIES 1",805-3472371247,305760,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",468000,10000,27,41,41,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXV LLC SERIES 2",805-9705084429,307488,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",1026000,10000,71,19,19,"N",2,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCLI LLC SERIES 1",805-2144733031,305744,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",237000,10000,22,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCLIV LLC SERIES 1",805-5402088965,305747,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",51000,10000,5,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLXXXVII LLC SERIES 2",805-2324147474,378954,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",77000,3000,18,0,0,"N",13,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXLIV LLC SERIES 3",805-7096077854,378865,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",138000,3000,38,0,0,"N",9,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXLIV LLC SERIES 4",805-4600500447,378867,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",50000,10000,16,0,0,"N",8,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCCXLVIII LLC SERIES 2",805-9782025947,397446,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",125000,1000,10,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
